admonisher.n.01	restrain.v.03	person.n.01	restrain.v.03	person.n.01	restrain.v.03	admonisher.n.01	hold.v.22	bag.n.01
basket.n.01	have.v.01	beer.n.01	have.v.01	beer.n.01	have.v.01	basket.n.01	own.v.01	bag.n.01
basket.n.01	transport.v.02	bag.n.01	transport.v.02	bag.n.01	carry.v.02	basket.n.01	hold.v.22	bag.n.01
bear.n.01	have.v.01	coat.n.03	have.v.01	coat.n.03	wear.v.01	coat.n.03	own.v.01	coat.n.03
bear.n.01	sit.v.01	basket.n.01	sit.v.01	chair.n.01	sit.v.01	bench.n.01	sit.v.01	sofa.n.01
bear.n.01	sit.v.01	chair.n.01	sit.v.01	chair.n.01	rest.v.01	sofa.n.01	sit.v.01	bench.n.01
bear.n.01	stand.v.01	grass.n.01	stand.v.01	chair.n.01	stand.v.01	table.n.01	stand.v.01	traffic_light.n.01
bear.n.01	wear.v.01	hat.n.01	wear.v.01	necktie.n.01	wear.v.01	helmet.n.01	wear.v.01	coat.n.03
bear.n.01	wear.v.01	jacket.n.01	wear.v.01	shirt.n.01	wear.v.01	coat.n.01	wear.v.01	helmet.n.01
bed.n.01	have	person.n.01	have	chair.n.01	have	pillow.n.01
bed.n.01	have.v.01	jacket.n.01	have.v.01	sport.n.01	have.v.01	necktie.n.01	have.v.01	chair.n.01
bed.n.01	have.v.01	post.n.04	have.v.01	chair.n.01	produce.v.02	broccoli.n.01	wear.v.05	necktie.n.01
bed.n.01	have.v.02	bench.n.01	have.v.02	sofa.n.01	have.v.02	chair.n.01	have.v.02	bench.n.01
bed.n.01	have.v.02	pillow.n.01	have.v.02	chair.n.01	have.v.02	pillow.n.01	have.v.02	table.n.01
bench.n.01	get.v.03	person.n.01	get.v.03	bench.n.01	sit.v.01	bench.n.01	rest_on	bench.n.01
bench.n.01	have.v.01	dog.n.01	have.v.01	dog.n.01	accommodate.v.04	bench.n.01	sit.v.01	bench.n.01
bench.n.01	keep.v.01	person.n.01	keep.v.01	sport.n.01	keep.v.01	face.n.01	keep.v.01	chair.n.01
bicycle.n.01	have.v.01	basket.n.01	have.v.01	bicycle.n.01	have.v.01	basket.n.01	own.v.01	bag.n.01
bicycle.n.01	have.v.01	bottle.n.01	have.v.01	bicycle.n.01	have.v.01	bottle.n.01	own.v.01	bag.n.01
bicycle.n.01	park.v.01	bus.n.01	park.v.01	bicycle.n.01	park.v.01	bus.n.01	drive.v.01	bus.n.01
bicycle.n.01	park.v.01	table.n.02	park.v.01	bicycle.n.01	park.v.01	table.n.02	sit.v.01	chair.n.01
boat.n.01	follow.v.01	boat.n.01	follow.v.01	train.n.01	follow.v.01	kite.n.01	follow.v.01	dog.n.01
boat.n.01	have.v.01	ball.n.01	have.v.01	sports_ball	have.v.01	baseball_bat.n.01	have.v.01	frisbee.n.01
boat.n.01	have.v.01	engine.n.01	have.v.01	engine.n.01	sail.v.01	boat.n.01	drive.v.01	train.n.01
boat.n.01	have.v.02	roof.n.01	have.v.02	sport.n.01	have.v.02	necktie.n.01	have.v.02	chair.n.01
boat.n.01	transport.v.02	person.n.01	transport.v.02	boat.n.01	transport.v.02	person.n.01	carry.v.02	sports_ball
bottle.n.01	have.v.01	plant.n.02	have.v.01	bottle.n.01	produce.v.02	plant.n.02	contain.v.05	bottle.n.01
bottle.n.01	touch.v.01	bag.n.01	touch.v.01	bottle.n.01	touch.v.01	bag.n.01	carry.v.02	bag.n.01
bowl.n.01	hold.v.11	bowl.n.01	hold.v.11	bowl.n.01	contain.v.05	bowl.n.01	serve.v.06	bowl.n.01
box.n.01	have.v.01	clock.n.01	have.v.01	chair.n.01	have.v.01	bag.n.01	have.v.01	watch.n.01
box.n.01	have.v.01	pizza.n.01	have.v.01	pizza.n.01	contain.v.05	box.n.01	serve.v.06	pizza.n.01
box.n.01	hold.v.11	pizza.n.01	hold.v.11	bowl.n.01	hold.v.11	bag.n.01	hold.v.11	plate.n.03
box.n.01	incorporate.v.02	clock.n.01	incorporate.v.02	sport.n.01	incorporate.v.02	chair.n.01	incorporate.v.02	clock.n.01
building.n.01	accommodate.v.04	person.n.01	accommodate.v.04	building.n.01	accommodate.v.04	chair.n.01	accommodate.v.04	sofa.n.01
building.n.01	attach_to.v.01	tower.n.01	attach_to.v.01	tower.n.01	attach_to.v.01	building.n.01	attach_to.v.01	traffic_light.n.01
building.n.01	have.v.01	clock.n.01	have.v.01	clock.n.01	have.v.01	building.n.01	own.v.01	chair.n.01
building.n.01	have.v.01	grass.n.01	have.v.01	grass.n.01	accommodate.v.04	chair.n.01	contain.v.05	building.n.01
building.n.01	have.v.01	tower.n.01	have.v.01	tower.n.01	have.v.01	chair.n.01	have.v.01	monitor.n.05
building.n.01	have.v.02	roof.n.01	have.v.02	chair.n.01	have.v.02	monitor.n.05	have.v.02	table.n.01
building.n.01	have.v.02	truck.n.01	have.v.02	truck.n.01	drive.v.01	truck.n.01	transport.v.02	truck.n.01
building.n.01	tall.a.01	hydrant.n.02	tall.a.01	building.n.01	wear.v.02	necktie.n.01	produce.v.02	broccoli.n.01
building.n.01	tall.a.01	tree.n.01	tall.a.01	tower.n.01	tall.a.01	giraffe.n.01	tall.a.01	tree.n.01
building.n.01	taller_than	shrub.n.01	taller_than	tower.n.01	taller_than	giraffe.n.01	taller_than	mountain.n.01
building.n.01	touch.v.01	street.n.01	touch.v.01	building.n.01	touch.v.01	street.n.01	rest.v.01	building.n.01
bus.n.01	drive.v.01	road.n.01	drive.v.01	bus.n.01	drive.v.01	truck.n.01	drive.v.01	van.n.05
bus.n.01	drive.v.01	street.n.01	drive.v.01	bus.n.01	drive.v.01	truck.n.01	drive.v.01	van.n.05
bus.n.01	have.v.01	cat.n.01	have.v.01	sport.n.01	produce.v.02	broccoli.n.01	sit.v.01	chair.n.01
bus.n.01	have.v.01	face.n.01	have.v.01	face.n.01	wear.v.01	necktie.n.01	drive.v.01	bus.n.01
bus.n.01	have.v.01	roof.n.02	have.v.01	roof.n.02	drive.v.01	bus.n.01	wear.v.01	necktie.n.01
bus.n.01	have.v.01	wheel.n.01	have.v.01	wheel.n.01	drive.v.01	bus.n.01	own.v.01	bus.n.01
bus.n.01	have.v.02	ramp.n.01	have.v.02	train.n.01	have.v.02	chair.n.01	have.v.02	traffic_light.n.01
bus.n.01	park.v.02	road.n.01	park.v.02	bus.n.01	drive.v.01	bus.n.01	transport.v.02	bus.n.01
bus.n.01	park.v.02	street.n.02	park.v.02	bus.n.01	drive.v.01	street.n.02	stand.v.03	traffic_light.n.01
bus.n.01	transport.v.02	person.n.01	transport.v.02	bus.n.01	transport.v.02	person.n.01	drive.v.01	bus.n.01
cabinet.n.01	have.v.01	glass.n.02	have.v.01	glass.n.01	have.v.01	bottle.n.01	have.v.01	cup.n.01
cabinet.n.01	have.v.01	paper.n.01	have.v.01	chair.n.01	have.v.01	desk.n.01	have.v.01	bag.n.01
cabinet.n.01	keep.v.01	monitor.n.04	keep.v.01	monitor.n.04	keep.v.01	cabinet.n.01	produce.v.02	monitor.n.04
camera.n.01	face.v.05	person.n.01	face.v.05	person.n.01	wear.v.01	necktie.n.01	hold.v.02	ball.n.01
car.n.01	against	sky.n.01	drive.v.02	car.n.01	look.v.01	sky.n.01	park.v.01	car.n.01
car.n.01	drive.v.01	street.n.01	drive.v.01	car.n.01	drive.v.01	truck.n.01	drive.v.02	van.n.05
car.n.01	drive.v.02	road.n.01	drive.v.02	car.n.01	drive.v.02	truck.n.01	drive.v.02	motorcycle.n.01
car.n.01	drive_on	person.n.01	drive_on	car.n.01	drive_on	truck.n.01	drive_on	van.n.05
car.n.01	follow.v.01	car.n.01	drive.v.01	car.n.01	follow.v.01	train.n.01	park.v.01	truck.n.01
car.n.01	have.v.01	bear.n.01	drive.v.01	car.n.01	have.v.01	bear.n.01	feed.v.01	bear.n.01
car.n.01	have.v.01	dog.n.01	have.v.01	dog.n.01	own.v.01	car.n.01	drive.v.01	car.n.01
car.n.01	have.v.01	roof.n.02	have.v.01	roof.n.01	drive.v.01	car.n.01	cover.v.01	roof.n.02
car.n.01	have.v.01	surfboard.n.01	have.v.01	surfboard.n.01	drive.v.01	car.n.01	own.v.01	sports_ball
car.n.01	have.v.01	wheel.n.01	drive.v.01	car.n.01	have.v.01	wheel.n.01	contain.v.05	bag.n.01
car.n.01	park.v.01	motorcycle.n.01	park.v.01	car.n.01	drive.v.01	motorcycle.n.01	ride.v.01	motorcycle.n.01
car.n.01	park.v.01	road.n.01	park.v.01	chair.n.01	park.v.01	tree.n.01	park.v.01	bench.n.01
car.n.01	park.v.02	sand.n.01	park.v.02	truck.n.01	park.v.02	bus.n.01	park.v.02	bicycle.n.01
cart.n.01	have.v.01	baggage.n.01	have.v.01	baggage.n.01	carry.v.02	cart.n.01	own.v.01	bag.n.01
cart.n.01	have.v.01	roof.n.01	have.v.01	cart.n.01	have.v.01	roof.n.01	contain.v.05	bowl.n.01
cart.n.01	keep.v.01	baggage.n.01	carry.v.02	baggage.n.01	load.v.01	cart.n.01	keep.v.01	bag.n.01
cart.n.01	transport.v.02	bag.n.06	transport.v.02	cart.n.01	carry.v.02	bag.n.06	have.v.02	cart.n.01
cart.n.01	transport.v.02	person.n.01	transport.v.02	cart.n.01	carry.v.02	person.n.01	drive.v.01	truck.n.01
cat.n.01	have.v.02	face.n.07	have.v.02	face.n.01	have.v.02	hand.n.08	have.v.02	necktie.n.01
cat.n.01	lean_on.v.01	sink.n.01	lean_on.v.01	chair.n.01	rest_on	table.n.01	lean.v.02	sofa.n.01
cat.n.01	lie.v.02	sink.n.01	lie.v.02	cat.n.01	rest.v.01	chair.n.01	stand.v.02	traffic_light.n.01
cat.n.01	look.v.01	bear.n.01	look.v.01	cat.n.01	look.v.01	bear.n.01	look.v.01	face.n.01
cat.n.01	look.v.01	cat.n.01	look.v.01	traffic_light.n.01	look.v.01	monitor.n.05	look.v.01	person.n.01
cat.n.01	look.v.01	monitor.n.04	look.v.01	monitor.n.04	watch.v.03	television.n.01	inspect.v.01	desk.n.01
cat.n.01	sit.v.01	bench.n.01	sit.v.01	chair.n.01	sit.v.01	sofa.n.01	sit.v.01	dining_table.n.01
cat.n.01	sit.v.01	chair.n.01	sit.v.01	chair.n.01	rest.v.01	chair.n.01	lean.v.01	chair.n.01
cat.n.01	sit.v.01	sink.n.01	sit.v.01	chair.n.01	sit.v.01	sofa.n.01	sit.v.01	bench.n.01
cat.n.01	sit.v.01	table.n.02	sit.v.01	chair.n.01	sit.v.01	sofa.n.01	sit.v.01	bench.n.01
cat.n.01	sit_down.v.01	sofa.n.01	sit_down.v.01	chair.n.01	sit_down.v.01	bench.n.01	sit_down.v.01	dining_table.n.01
cat.n.01	sleep.v.01	chair.n.01	sleep.v.01	chair.n.01	rest.v.01	chair.n.01	sit.v.01	chair.n.01
cat.n.01	sleep.v.01	shelf.n.01	sleep.v.01	cat.n.01	rest.v.01	shelf.n.01	lie.v.01	cat.n.01
cat.n.01	stand.v.01	person.n.01	stand.v.01	chair.n.01	stand.v.01	table.n.01	stand.v.01	traffic_light.n.01
cat.n.01	watch.v.04	proctor.n.01	watch.v.04	cat.n.01	watch.v.04	proctor.n.01	watch.v.04	monitor.n.05
cat.n.01	wear.v.01	necktie.n.01	wear.v.01	necktie.n.01	wear.v.01	shirt.n.01	wear.v.01	coat.n.01
chair.n.01	against	counter.n.01	against	chair.n.01	against	counter.n.01	against	desk.n.01
chair.n.01	have.v.01	bag.n.01	have.v.01	chair.n.01	have.v.01	bag.n.01	own.v.01	chair.n.01
chair.n.01	have.v.01	pillow.n.01	have.v.01	pillow.n.01	have.v.01	chair.n.01	have.v.01	necktie.n.01
chair.n.01	hold.v.10	person.n.01	hold.v.10	chair.n.01	hold.v.10	person.n.01	hold.v.10	desk.n.01
chair.n.01	incorporate.v.02	bear.n.01	incorporate.v.02	chair.n.01	incorporate.v.02	bear.n.01	incorporate.v.02	sports_ball
clock.n.01	against	sky.n.01	against	tower.n.01	against	mountain.n.01	against	tree.n.01
clock.n.01	attach.v.03	building.n.01	attach.v.01	clock.n.01	attach.v.02	building.n.01	attach_to	tower.n.01
clock.n.01	have.v.01	face.n.01	have.v.01	face.n.01	wear.v.01	necktie.n.01	hold.v.02	baseball_bat.n.01
clock.n.01	have.v.01	hand.n.08	have.v.01	clock.n.01	have.v.01	hand.n.08	own.v.01	watch.n.01
clock.n.01	sit.v.01	chair.n.01	sit.v.01	chair.n.01	wear.v.05	necktie.n.01
coat.n.01	cover.v.01	person.n.01	cover.v.01	coat.n.01	wear.v.01	person.n.01	cover.v.01	person.n.01
computer.n.01	confront.v.02	person.n.01	confront.v.02	sport.n.01	confront.v.02	person.n.01
computer.n.01	have.v.01	monitor.n.04	have.v.01	chair.n.01	have.v.01	monitor.n.05	have.v.01	bicycle.n.01
counter.n.01	have.v.01	basket.n.01	have.v.01	basket.n.01	have.v.01	chair.n.01	have.v.01	bag.n.01
counter.n.01	have.v.01	box.n.01	have.v.01	chair.n.01	have.v.01	bowl.n.01	have.v.01	desk.n.01
counter.n.01	have.v.01	plate.n.02	have.v.01	chair.n.01	produce.v.02	broccoli.n.01	sit.v.01	sofa.n.01
counter.n.01	have.v.01	pot.n.01	have.v.01	necktie.n.01	wear.v.01	shirt.n.01	hold.v.10	cup.n.01
counter.n.01	have.v.01	stove.n.01	have.v.01	chair.n.01	have.v.01	oven.n.01	have.v.01	sink.n.01
counter.n.01	incorporate.v.02	plate.n.02	incorporate.v.02	plate.n.03	incorporate.v.02	bowl.n.01	incorporate.v.02	cup.n.01
desk.n.01	have.v.01	chair.n.01	have.v.01	chair.n.01	sit.v.01	chair.n.01
desk.n.01	have.v.01	glass.n.02	have.v.01	chair.n.01	have.v.01	bag.n.01	have.v.01	monitor.n.05
desk.n.01	have.v.01	laptop.n.01	have.v.01	laptop.n.01	own.v.01	desk.n.01	sit_on	chair.n.01
desk.n.01	have.v.01	monitor.n.04	have.v.01	chair.n.01	have.v.01	monitor.n.05	have.v.01	keyboard.n.01
desk.n.01	have.v.01	pot.n.04	have.v.01	pot.n.04	have.v.01	plant.n.02	have.v.01	chair.n.01
desk.n.01	have.v.01	telephone.n.01	have.v.01	telephone.n.01	have.v.01	desk.n.01	own.v.01	chair.n.01
desk.n.01	have.v.02	computer.n.01	have.v.02	desk.n.01	have.v.02	computer.n.01	have.v.02	chair.n.01
desk.n.01	have.v.02	keyboard.n.01	have.v.02	desk.n.01	have.v.02	keyboard.n.01	produce.v.02	sport.n.01
desk.n.01	have.v.02	lamp.n.02	have.v.02	desk.n.01	have.v.02	lamp.n.02	have.v.02	chair.n.01
desk.n.01	hold.v.11	mouse.n.01	hold.v.11	desk.n.01	hold.v.11	mouse.n.01	contain.v.05	bag.n.01
dog.n.01	drive.v.01	car.n.01	drive.v.01	truck.n.01	drive.v.01	motorcycle.n.01	drive.v.01	van.n.05
dog.n.01	have.v.01	bear.n.01	have.v.01	dog.n.01	have.v.01	bear.n.01	own.v.01	bear.n.01
dog.n.01	have.v.01	shirt.n.01	wear.v.05	shirt.n.01	have.v.01	dog.n.01	hold.v.10	necktie.n.01
dog.n.01	keep.v.01	ball.n.01	keep.v.01	ball.n.01	play.v.05	sport.n.01	hold.v.22	hand.n.08
dog.n.01	lean_on.v.01	person.n.01	lean_on.v.01	chair.n.01	lean_on.v.01	table.n.01
dog.n.01	look.v.01	dog.n.01	look.v.01	face.n.01	look.v.01	monitor.n.05	look.v.01	dog.n.01
dog.n.01	look.v.01	oven.n.01	look.v.01	dog.n.01	look.v.01	oven.n.01	look.v.01	broccoli.n.01
dog.n.01	look.v.01	shoe.n.01	look.v.01	sport.n.01	look.v.01	face.n.01	look.v.01	broccoli.n.01
dog.n.01	look.v.01	tree.n.01	look.v.01	face.n.01	look.v.01	tree.n.01	look.v.01	monitor.n.05
dog.n.01	pull.v.01	horse.n.01	pull.v.01	truck.n.01	pull.v.01	boat.n.01	pull.v.01	bicycle.n.01
dog.n.01	ride.v.01	car.n.01	ride.v.01	dog.n.01	drive.v.01	car.n.01	feed.v.01	dog.n.01
dog.n.01	ride.v.01	dog.n.01	ride.v.01	truck.n.01	ride.v.01	bicycle.n.01	ride.v.01	horse.n.01
dog.n.01	ride.v.01	motorcycle.n.01	ride.v.01	motorcycle.n.01	own.v.01	dog.n.01	wear.v.01	helmet.n.01
dog.n.01	ride.v.01	person.n.01	ride.v.01	dog.n.01	ride.v.01	person.n.01	ride.v.01	sports_ball
dog.n.01	ride.v.02	boat.n.01	ride.v.02	boat.n.01	own.v.01	dog.n.01	stand.v.01	dog.n.01
dog.n.01	sit.v.01	bench.n.01	sit.v.01	chair.n.01	sit.v.01	sofa.n.01	sit.v.01	bench.n.01
dog.n.01	sit.v.01	person.n.01	sit.v.01	chair.n.01	sit.v.01	sofa.n.01	sit.v.01	bench.n.01
dog.n.01	sit.v.01	shelf.n.01	sit.v.01	chair.n.01	sit.v.01	sofa.n.01	sit.v.01	bench.n.01
dog.n.01	sleep.v.01	sofa.n.01	sleep.v.01	sofa.n.01	rest.v.01	sofa.n.01	sit.v.01	sofa.n.01
dog.n.01	stand.v.01	boat.n.01	stand.v.01	dog.n.01	stand.v.01	boat.n.01	stand.v.01	chair.n.01
dog.n.01	stand.v.01	street.n.01	stand.v.01	dog.n.01	stand.v.01	street.n.01	stand.v.01	chair.n.01
dog.n.01	tall.a.01	person.n.01	tall.a.01	giraffe.n.01	tall.a.01	tower.n.01	tall.a.01	traffic_light.n.01
dog.n.01	use.v.01	laptop.n.01	use.v.01	laptop.n.01	use.v.01	chair.n.01	use.v.01	telephone.n.01
dog.n.01	watch.v.01	monitor.n.04	watch.v.01	television.n.01	watch.v.01	monitor.n.04	watch.v.01	sports_ball
dog.n.01	wear.v.01	bloomers.n.01	wear.v.01	necktie.n.01	wear.v.01	shirt.n.01	wear.v.01	coat.n.01
dog.n.01	wear.v.01	helmet.n.01	wear.v.01	helmet.n.01	wear.v.01	necktie.n.01	wear.v.01	coat.n.01
dog.n.01	wear.v.01	jacket.n.01	wear.v.01	coat.n.03	wear.v.01	necktie.n.01	wear.v.01	hat.n.01
dog.n.01	wear.v.01	spectacles.n.01	wear.v.01	necktie.n.01	wear.v.01	helmet.n.01	wear.v.01	coat.n.01
dog.n.01	wear.v.02	shirt.n.01	wear.v.02	necktie.n.01	wear.v.02	coat.n.01	wear.v.02	helmet.n.01
elephant.n.01	cover.v.01	car.n.01	cover.v.01	chair.n.01	cover.v.01	table.n.01	cover.v.01	sofa.n.01
elephant.n.01	feed.v.01	plant.n.01	feed.v.01	broccoli.n.01	feed.v.01	carrot.n.01	feed.v.01	apple.n.01
elephant.n.01	hold.v.02	person.n.01	hold.v.02	bag.n.01	hold.v.02	cup.n.01	hold.v.02	baseball_bat.n.01
elephant.n.01	hold.v.02	plant.n.02	hold.v.11	broccoli.n.01	hold.v.02	vase.n.01
elephant.n.01	look.v.01	grass.n.01	look.v.01	sport.n.01	look.v.01	face.n.01	look.v.01	tree.n.01
elephant.n.01	ride.v.01	bicycle.n.01	ride.v.01	elephant.n.01	ride.v.01	bicycle.n.01	sit.v.01	chair.n.01
elephant.n.01	sleep.v.01	person.n.01	sleep.v.01	person.n.01	rest.v.01	chair.n.01	sit.v.01	sofa.n.01
elephant.n.01	stand.v.01	grass.n.01	stand.v.01	chair.n.01	stand.v.01	table.n.01	stand.v.01	vase.n.01
elephant.n.01	stand.v.03	street.n.02	stand.v.03	street.n.02	stand.v.03	chair.n.01	stand.v.03	traffic_light.n.01
elephant.n.01	tall.a.01	person.n.01	tall.a.01	tower.n.01	wear.v.01	necktie.n.01
elephant.n.01	wear.v.01	spectacles.n.01	wear.v.01	necktie.n.01	wear.v.01	helmet.n.01	wear.v.01	jacket.n.01
elephant.n.01	wear.v.01	trouser.n.01	wear.v.01	necktie.n.01	wear.v.01	shirt.n.01	wear.v.01	coat.n.03
engine.n.01	attach.v.03	airplane.n.01	attach.v.03	engine.n.01	attach.v.03	airplane.n.01	drive.v.01	train.n.01
engine.n.01	attach_to.v.01	airplane.n.01	attach_to.v.01	airplane.n.01	drive.v.01	train.n.01	wear.v.01	necktie.n.01
engine.n.01	have.v.01	grass.n.01	have.v.01	sport.n.01	produce.v.02	broccoli.n.01	wear.v.05	necktie.n.01
faucet.n.01	attach.v.01	sink.n.01	attach.v.01	faucet.n.01	attach.v.01	sink.n.01	wash.v.02	sink.n.01
giraffe.n.01	eat.v.01	grass.n.01	eat.v.01	broccoli.n.01	eat.v.01	apple.n.01	eat.v.01	carrot.n.01
giraffe.n.01	have.v.01	person.n.01	have.v.01	giraffe.n.01	have.v.01	person.n.01	have.v.01	face.n.01
giraffe.n.01	have.v.02	face.n.01	have.v.02	face.n.01	have.v.02	face.n.07	have.v.02	necktie.n.01
giraffe.n.01	lie.v.02	grass.n.01	lie.v.02	giraffe.n.01	lie.v.02	cow.n.01	lie.v.02	sheep.n.01
giraffe.n.01	look.v.01	grass.n.01	look.v.01	giraffe.n.01	look.v.01	grass.n.01	look.v.02	giraffe.n.01
giraffe.n.01	look.v.01	hand.n.01	look.v.01	face.n.01	look.v.01	monitor.n.05	look.v.01	traffic_light.n.01
giraffe.n.01	sit.v.01	grass.n.01	sit.v.01	chair.n.01	sit.v.01	sofa.n.01	sit.v.01	bench.n.01
giraffe.n.01	stand.v.01	grass.n.01	stand.v.01	giraffe.n.01	stand.v.01	chair.n.01	stand.v.01	traffic_light.n.01
giraffe.n.01	touch.v.01	street.n.01	touch.v.01	giraffe.n.01	touch.v.01	street.n.01	touch.v.01	traffic_light.n.01
glass.n.01	cover.v.01	cabinet.n.01	cover.v.01	cabinet.n.01	sit.v.01	chair.n.01	hold.v.10	vase.n.01
glass.n.02	have.v.01	plant.n.01	have.v.01	glass.n.02	have.v.01	bowl.n.01	have.v.01	bag.n.01
grass.n.01	get.v.03	grass.n.01	get.v.03	grass.n.01	wear.v.05	necktie.n.01	sit_on	chair.n.01
gun.n.01	eat.v.01	grass.n.01	eat.v.01	broccoli.n.01	eat.v.01	apple.n.01	eat.v.01	pizza.n.01
hand.n.01	have.v.01	pizza.n.01	have.v.01	hand.n.01	hold.v.10	pizza.n.01	manipulate.v.05	pizza.n.01
hand.n.01	have.v.01	telephone.n.01	have.v.01	telephone.n.01	hold.v.22	sport.n.01	wear.v.01	necktie.n.01
hand.n.01	hold.v.02	bag.n.01	hold.v.02	bag.n.01	carry.v.02	bag.n.01	manipulate.v.05	bag.n.01
hand.n.01	hold.v.02	camera.n.01	hold.v.02	bowl.n.01	hold.v.02	baseball_bat.n.01	hold.v.02	bag.n.01
hand.n.01	hold.v.02	cup.n.01	hold.v.02	cup.n.01	hold.v.02	bottle.n.01	hold.v.02	bowl.n.01
hand.n.01	hold.v.02	telephone.n.01	hold.v.02	telephone.n.01	hold.v.02	bag.n.01	hold.v.02	bowl.n.01
hand.n.01	hold.v.02	umbrella.n.01	hold.v.02	sport.n.01	hold.v.02	bag.n.01	hold.v.02	cup.n.01
hat.n.01	cover.v.01	person.n.01	wear.v.05	hat.n.01	cover.v.01	person.n.01	sit.v.01	chair.n.01
hat.n.01	have.v.02	tie.n.04	have.v.02	necktie.n.01	wear.v.01	hat.n.01	attach.v.01	tie.n.04
helmet.n.01	cover.v.01	person.n.01	cover.v.01	helmet.n.01	wear.v.01	helmet.n.01	cover.v.01	person.n.01
horse.n.01	confront.v.01	car.n.01	confront.v.01	truck.n.01	confront.v.01	motorcycle.n.01	confront.v.01	bicycle.n.01
horse.n.01	feed.v.06	grass.n.01	feed.v.06	horse.n.01	feed.v.06	cow.n.01	feed.v.06	sheep.n.01
horse.n.01	follow.v.01	person.n.01	follow.v.01	horse.n.01	follow.v.01	person.n.01	ride.v.01	horse.n.01
horse.n.01	have.v.01	hat.n.01	wear.v.01	necktie.n.01	hold.v.10	bowl.n.01	sit.v.01	chair.n.01
horse.n.01	have.v.01	person.n.01	ride.v.01	horse.n.01	have.v.01	person.n.01	play.v.01	sport.n.01
horse.n.01	look.v.01	grass.n.01	look.v.01	sport.n.01	look.v.01	face.n.01	look.v.01	grass.n.01
horse.n.01	pull.v.01	train.n.01	pull.v.01	train.n.01	drive.v.01	truck.n.01	ride.v.01	horse.n.01
horse.n.01	search.v.02	tree.n.01	search.v.02	horse.n.01	search.v.02	tree.n.01	search.v.02	plant.n.01
horse.n.01	stand.v.01	street.n.02	stand.v.01	horse.n.01	stand.v.01	street.n.02	stand.v.01	traffic_light.n.01
horse.n.01	transport.v.02	bag.n.01	transport.v.02	horse.n.01	feed.v.02	horse.n.01
horse.n.01	transport.v.02	person.n.01	transport.v.02	horse.n.01	ride.v.01	person.n.01	drive.v.01	truck.n.01
horse.n.01	walk.v.04	horse.n.01	walk.v.01	horse.n.01	ride.v.01	horse.n.01
horse.n.01	wear.v.01	hat.n.01	wear.v.01	necktie.n.01	wear.v.01	jacket.n.01	wear.v.01	helmet.n.01
jacket.n.01	cover.v.01	person.n.01	cover.v.01	broccoli.n.01	wear.v.01	necktie.n.01	cover.v.01	face.n.01
jean.n.01	lie.v.01	motorcycle.n.01	lie.v.01	motorcycle.n.01	wear.v.01	jean.n.01	sit_on	motorcycle.n.01
keyboard.n.01	attach_to.v.01	laptop.n.01	attach_to	laptop.n.01
